,date,mean
0,2018-03-12,488.5625
1,2018-03-09,493.6875
2,2018-03-08,497.375
3,2018-03-07,502.3125
4,2018-03-06,504.0
5,2018-03-05,505.0625
6,2018-03-02,506.6875
7,2018-03-01,504.6875
8,2018-02-28,486.5
9,2018-02-27,475.9375
10,2018-02-26,471.75
11,2018-02-23,452.4375
12,2018-02-22,448.8125
13,2018-02-21,448.5625
14,2018-02-20,454.875
15,2018-02-19,458.0
16,2018-02-18,458.0
17,2018-02-16,460.1875
18,2018-02-15,458.125
19,2018-02-14,456.8125
20,2018-02-13,462.4375
21,2018-02-12,458.3125
22,2018-02-09,452.625
23,2018-02-08,458.375
24,2018-02-07,454.0625
25,2018-02-06,443.8125
26,2018-02-05,443.6875
27,2018-02-04,447.0
28,2018-02-02,448.625
29,2018-02-01,449.375
30,2018-01-31,453.9375
31,2018-01-30,453.5625
32,2018-01-29,446.4375
33,2018-01-26,438.3125
34,2018-01-25,433.75
35,2018-01-24,427.1875
36,2018-01-23,423.125
37,2018-01-22,425.125
38,2018-01-19,424.375
39,2018-01-18,423.3125
40,2018-01-17,419.0625
41,2018-01-16,418.1875
42,2018-01-12,427.3125
43,2018-01-11,432.6875
44,2018-01-10,433.0625
45,2018-01-09,429.5
46,2018-01-08,428.8125
47,2018-01-05,431.4375
48,2018-01-04,433.875
49,2018-01-03,434.5625
50,2018-01-02,432.3125
51,2017-12-29,426.5625
52,2017-12-28,426.9375
53,2017-12-27,424.625
54,2017-12-26,423.625
55,2017-12-22,426.25
56,2017-12-21,425.375
57,2017-12-20,420.845
58,2017-12-19,421.125
59,2017-12-18,421.125
60,2017-12-15,418.5
61,2017-12-14,418.0625
62,2017-12-13,414.375
63,2017-12-12,413.6875
64,2017-12-11,415.1875
65,2017-12-08,420.53
66,2017-12-07,422.9375
67,2017-12-06,429.03
68,2017-12-05,433.7175
69,2017-12-04,438.125
70,2017-12-01,435.5625
71,2017-11-30,435.0325
72,2017-11-29,432.375
73,2017-11-28,428.625
74,2017-11-27,412.43499999999995
75,2017-11-24,417.8125
76,2017-11-22,423.595
77,2017-11-21,423.875
78,2017-11-20,424.03
79,2017-11-17,424.7175
80,2017-11-16,421.625
81,2017-11-15,423.3125
82,2017-11-14,426.5
83,2017-11-13,427.5
84,2017-11-10,430.8125
85,2017-11-09,427.8125
86,2017-11-08,424.9375
87,2017-11-07,428.0
88,2017-11-06,429.375
89,2017-11-03,426.0625
90,2017-11-02,422.1875
91,2017-11-01,418.9675
92,2017-10-31,421.75
93,2017-10-30,425.6875
94,2017-10-27,428.625
95,2017-10-26,434.0
96,2017-10-25,437.625
97,2017-10-24,436.845
98,2017-10-23,431.3125
99,2017-10-20,430.0325
100,2017-10-19,432.25
101,2017-10-18,432.375
102,2017-10-17,436.4375
103,2017-10-16,438.75
104,2017-10-13,435.6875
105,2017-10-12,432.4375
106,2017-10-11,433.5625
107,2017-10-10,436.56500000000005
108,2017-10-09,440.625
109,2017-10-06,442.3125
110,2017-10-05,441.625
111,2017-10-04,445.625
112,2017-10-03,446.5625
113,2017-10-02,444.53
114,2017-09-29,452.1875
115,2017-09-28,458.03
116,2017-09-27,456.875
117,2017-09-26,455.125
118,2017-09-25,449.845
119,2017-09-22,451.2825
120,2017-09-21,451.125
121,2017-09-20,446.75
122,2017-09-19,442.0625
123,2017-09-18,446.47
124,2017-09-15,445.845
125,2017-09-14,444.5625
126,2017-09-13,444.905
127,2017-09-12,437.125
128,2017-09-11,436.25
129,2017-09-08,438.25
130,2017-09-07,441.625
131,2017-09-06,443.75
132,2017-09-05,442.625
133,2017-09-01,436.9375
